"","species","treatment","parameter_type","mean_parameter","median_parameter","hdi_lo","hdi_hi"
"112","BRHO","C","alpha_amme",0.114143629442897,0.118581279335057,-0.0525539718904334,0.29159870302919
"113","BRHO","C","alpha_anar",0.022928145584792,0.023086155907464,0.00998184577385901,0.0346486850306018
"114","BRHO","C","alpha_brho",0.0572574038418688,0.05772376484271,0.0350230983938682,0.0779063437087838
"115","BRHO","C","alpha_brni",0.0740350573121275,0.0752764932178014,0.0307523081685784,0.109794639269486
"116","BRHO","C","alpha_ceso",0.0727004512116393,0.0738347145162583,-0.00290349749779194,0.146080919506028
"117","BRHO","C","alpha_gitr",0.0383358231334578,0.0384922843271434,0.0279080971911215,0.0488884916130115
"118","BRHO","C","alpha_leni",0.0812139739405877,0.0822771160264548,0.0348887274008238,0.124321017334919
"119","BRHO","C","alpha_lomu",0.144912686842827,0.147441634767568,0.0761567319374759,0.211445681840654
"120","BRHO","C","alpha_mael",0.1216902414686,0.125986823915018,0.0183509998248418,0.218457356229098
"121","BRHO","C","alpha_mica",0.0423812776172004,0.0425235215622587,0.0271146393742659,0.0578363083037857
"122","BRHO","C","alpha_pler",0.0701533949936399,0.0706216208976311,0.0449678121164496,0.0930380462832957
"123","BRHO","C","alpha_plno",0.1018320577796,0.103699294350189,-0.0758386370585862,0.289005217256732
"124","BRHO","C","alpha_taca",0.164704397228313,0.165824592909726,0.0914951614261319,0.230283217361195
"125","BRHO","C","alpha_thir",-0.0881907657165776,-0.0868518019212678,-0.187188341151898,0.0133512117788705
"126","BRHO","C","alpha_twil",0.0262577594245266,0.0278263818056989,-0.0415292627897464,0.0913439034508457
"127","BRHO","D","alpha_acam",-0.198044230570986,-0.193607468577111,-0.406196457614986,0.00142159425905782
"128","BRHO","D","alpha_amme",-0.197167486178353,-0.186512122372863,-0.4814358107915,0.0856258985165655
"129","BRHO","D","alpha_anar",-5.12729552564423e-05,0.000134425640801779,-0.0172418521377162,0.0158526032418709
"130","BRHO","D","alpha_brho",0.0434629600491164,0.0436873370156813,0.02600151753781,0.059444811108101
"131","BRHO","D","alpha_brni",0.0916401307419495,0.0926967555938571,0.0554908187479773,0.126945398680601
"132","BRHO","D","alpha_ceso",0.0587010674597934,0.0600806836252246,-0.00449262768737182,0.117723731627615
"133","BRHO","D","alpha_gitr",0.0494024949378319,0.0494844912298753,0.03718411888732,0.0624488735383086
"134","BRHO","D","alpha_leni",0.0446749421911041,0.0454973852619561,0.0029634853324836,0.0875314664029285
"135","BRHO","D","alpha_lomu",0.0715908325785094,0.0727691919747212,0.0317542396056499,0.109239158247418
"136","BRHO","D","alpha_mael",-0.0715433655298631,-0.0648584602578875,-0.332196481036083,0.167238840173723
"137","BRHO","D","alpha_mica",0.0275546840406766,0.0279711915601379,0.0103412192584186,0.0455678357264431
"138","BRHO","D","alpha_pler",0.0308753284136848,0.0317418610444586,0.00784782139209425,0.0507489479086611
"139","BRHO","D","alpha_plno",0.192754168292475,0.198019607788872,-0.0461126859366014,0.398599593312019
"140","BRHO","D","alpha_taca",0.0483146147514637,0.0496837584642443,-0.000679287235471262,0.100686763398349
"141","BRHO","D","alpha_thir",0.118075083612153,0.12033041921358,0.0503069015545412,0.186641820643385
"142","BRHO","D","alpha_twil",-0.0356409682449999,-0.034715433871815,-0.10875476115805,0.0412508093256344
"143","BRNI","C","alpha_acam",0.0136182643832961,0.0206963710434974,-0.162567835162025,0.173091924021662
"144","BRNI","C","alpha_amme",0.184984565947331,0.192965371257676,0.00484271818383875,0.349513836634136
"145","BRNI","C","alpha_anar",-0.000638350682569919,-0.000149929654859763,-0.0110461518080218,0.00919040848976543
"146","BRNI","C","alpha_brho",0.00283236980910309,0.00375571800316004,-0.0218719968382601,0.0260062212849933
"147","BRNI","C","alpha_gitr",-0.00851286891342656,-0.00811632587092368,-0.0259170977133691,0.00749112014389397
"148","BRNI","C","alpha_leni",0.0488447744768531,0.0514808774746116,0.0135254074941643,0.0785033475022192
"149","BRNI","C","alpha_lomu",-0.0163214223326936,-0.0133015965315156,-0.0843677157148986,0.0457200199052782
"150","BRNI","C","alpha_mael",-0.203675378224847,-0.190797135107445,-0.649059183443644,0.209384765196538
"151","BRNI","C","alpha_mica",-0.00342466954228687,-0.00291284421947773,-0.0175249032976563,0.00961986264976181
"152","BRNI","C","alpha_pler",0.0133121108309578,0.0142672979236829,-0.00817479901418532,0.0344280051949709
"153","BRNI","C","alpha_plno",0.150504457450454,0.160016925033066,-0.281291455309046,0.579391786428346
"154","BRNI","C","alpha_taca",-0.00220630577197892,0.000642194173295921,-0.077704076313843,0.0670061198151478
"155","BRNI","C","alpha_thir",-0.0457934308049658,-0.0437281429003178,-0.132984085330212,0.0316531402468408
"156","BRNI","C","alpha_twil",-0.049875050846822,-0.0465090678559652,-0.145454637765867,0.0405525002195017
"157","BRNI","D","alpha_acam",-0.554834621937255,-0.536070525974919,-1.10628872292398,-0.0206800881384247
"158","BRNI","D","alpha_amme",0.184992271739417,0.196838428189858,0.0279683919333852,0.34099066946007
"159","BRNI","D","alpha_anar",0.00482789414542707,0.0051857537150951,-0.012202728601598,0.0223492829569676
"160","BRNI","D","alpha_brho",0.0300582379147783,0.0305198611317081,0.0154883536011824,0.0442169928543516
"161","BRNI","D","alpha_ceso",-0.00546950117004854,-0.00352146488746882,-0.0515430845400445,0.0420150400265834
"162","BRNI","D","alpha_gitr",0.0185909989278094,0.0187914008749745,0.00994102278649302,0.0262773019990214
"163","BRNI","D","alpha_leni",0.0909442769041447,0.0921795657467705,0.0559965225595823,0.125075534330982
"164","BRNI","D","alpha_lomu",-0.0261052067452707,-0.0244526338264878,-0.0764477814703103,0.0186669889534604
"165","BRNI","D","alpha_mael",0.0584866056572833,0.0632896027510691,-0.0920279921183837,0.187407182398131
"166","BRNI","D","alpha_mica",0.0136490869141143,0.0141014537765025,-0.00310246227518272,0.0302724611101509
"167","BRNI","D","alpha_pler",0.00712005962599413,0.00743915212887437,-0.00680761168402566,0.0214661230200498
"168","BRNI","D","alpha_taca",0.0365805928076429,0.0374990700348175,0.00413625063978993,0.0694838302390235
"169","BRNI","D","alpha_thir",0.0269500340225709,0.0292862071212977,-0.0509657996557122,0.101124672573144
"170","BRNI","D","alpha_twil",-0.0062670650933054,-0.000880740005487224,-0.0857784807302524,0.0611857339359687
"171","CESO","C","alpha_acam",-0.12614583276095,-0.117941483696646,-0.348361514511792,0.0919999185791123
"172","CESO","C","alpha_amme",-0.00485024671401985,0.00493449807177403,-0.203357171926206,0.182964577367042
"173","CESO","C","alpha_anar",-0.000522465566570388,-6.22312975260327e-07,-0.0142072312304535,0.0121220799821972
"174","CESO","C","alpha_brho",-0.0144477076419402,-0.0138110033459229,-0.0326541986945645,0.00167858800113268
"175","CESO","C","alpha_brni",0.0336673565811408,0.0342745729464052,0.0166741860289744,0.0504618374789547
"176","CESO","C","alpha_ceso",0.0341056563283153,0.0371828583664923,-0.0333160421321172,0.0903342336002458
"177","CESO","C","alpha_gitr",0.00791921164386585,0.0082755931471745,-0.000724844026623418,0.0163274882004263
"178","CESO","C","alpha_leni",0.049999505760653,0.0512811940092577,-0.00227084980354066,0.100326947774493
"179","CESO","C","alpha_lomu",0.011791516616371,0.0129950265801003,-0.018402819538325,0.0439301473041038
"180","CESO","C","alpha_mael",0.0473767196474615,0.0546344774555321,-0.0925792174651121,0.18018310736235
"181","CESO","C","alpha_mica",-0.0115035034053106,-0.0111897608399603,-0.0236970680363825,-0.000870482486717261
"182","CESO","C","alpha_pler",-0.0263723043684011,-0.0255550180575679,-0.0509957777567427,-0.00189787241501202
"183","CESO","C","alpha_plno",0.0548352814145962,0.0632686921567993,-0.0547912510338553,0.158558765267148
"184","CESO","C","alpha_taca",0.106219325004888,0.108640610536344,0.0125716406017865,0.193332460979879
"185","CESO","C","alpha_thir",0.00520902714738899,0.00966722858160765,-0.0696885934179761,0.0757532924227248
"186","CESO","C","alpha_twil",0.0119940454564585,0.0160160898911694,-0.0631294394588235,0.0837628648868849
"187","CESO","D","alpha_acam",-0.104050970729649,-0.0957175834996394,-0.290331403803166,0.0682150109520919
"188","CESO","D","alpha_amme",0.0381400396273183,0.0480134368108165,-0.149691760814744,0.212472128469853
"189","CESO","D","alpha_anar",0.0185634623451637,0.0192880236467756,-0.000181542249575161,0.0384293377230774
"190","CESO","D","alpha_brho",0.000882160606900832,0.00135103428374605,-0.014003948486218,0.0140844975952225
"191","CESO","D","alpha_brni",0.0910038698656111,0.0926160550974521,0.0412246057188176,0.143802817569496
"192","CESO","D","alpha_ceso",0.0447850545945597,0.0466786583614982,0.000596776473063561,0.0871467568014707
"193","CESO","D","alpha_gitr",0.0100438477448827,0.0102964370631734,0.000432606903144543,0.019169293973632
"194","CESO","D","alpha_leni",-0.00920963732634464,-0.00794745097200106,-0.0378025065222462,0.0161258128868786
"195","CESO","D","alpha_lomu",0.0378669336937073,0.0390032809178437,0.00840510026712551,0.0645945421719563
"196","CESO","D","alpha_mael",0.0584723086639674,0.0716031549484369,-0.177200481143492,0.286525187600131
"197","CESO","D","alpha_mica",0.00796467893678198,0.00827728622997822,-0.00245812530050739,0.0191815358427327
"198","CESO","D","alpha_pler",0.0167911123975816,0.0178362810305316,-0.015012791466035,0.0447802323160588
"199","CESO","D","alpha_plno",0.0618375095807481,0.070217116183129,-0.0801717637371485,0.183633360574083
"200","CESO","D","alpha_taca",0.0777692146585059,0.0828182894597517,-0.020089742578869,0.159337940619788
"201","CESO","D","alpha_thir",-0.123529927842449,-0.120820199592626,-0.202640113906762,-0.0515955205546902
"202","CESO","D","alpha_twil",-0.0756164076937783,-0.0727509430007751,-0.148203160391553,-0.00870917456585617
"203","GITR","C","alpha_acam",-0.0107901724630376,0.0103230777599316,-0.448572806484537,0.389380357942447
"204","GITR","C","alpha_amme",0.0501093701431952,0.0676423742191526,-0.424625374088297,0.494947247109674
"205","GITR","C","alpha_anar",-0.0143491900843731,-0.0132974406998579,-0.0466651309861854,0.0198948871763478
"206","GITR","C","alpha_brho",0.0881094794534148,0.0896509407065738,0.0408152442675306,0.13428136210873
"207","GITR","C","alpha_brni",0.140873608362315,0.142379904732898,0.0775502771675526,0.204987656968705
"208","GITR","C","alpha_ceso",0.0417086344224432,0.0468621312295657,-0.0916962116081281,0.164239595388074
"209","GITR","C","alpha_gitr",0.0465217121489442,0.0468122632870502,0.0316951962779268,0.0598624689232416
"210","GITR","C","alpha_leni",0.0196477343637517,0.021152679083614,-0.0176486167304823,0.0531043732980865
"211","GITR","C","alpha_lomu",0.0770073845289635,0.0795921427380485,-0.00847736248537531,0.151752536793533
"212","GITR","C","alpha_mael",0.0848140279243398,0.0911252343928739,-0.182820151707695,0.307105087369358
"213","GITR","C","alpha_mica",0.0335874185338755,0.0340800754737906,0.0121475509412951,0.0538620644599272
"214","GITR","C","alpha_pler",0.0714266917137936,0.0737414608855891,0.0100437600050263,0.125504955379158
"215","GITR","C","alpha_plno",0.079508868392748,0.0887689517915209,-0.222346051435504,0.345368829900018
"216","GITR","C","alpha_taca",0.123127462122528,0.126406021723165,0.00227154571036382,0.222081025599649
"217","GITR","C","alpha_thir",-0.14202482376645,-0.136052685476969,-0.359543581860074,0.0862325579873092
"218","GITR","C","alpha_twil",-0.136316537800208,-0.131838276782021,-0.284744453807842,0.00483403864286881
"219","GITR","D","alpha_acam",-0.105517367894413,-0.0942229232520249,-0.408444187174135,0.152995256804931
"220","GITR","D","alpha_amme",-0.289086784872381,-0.281409965406957,-0.537050936816954,-0.0646587647858941
"221","GITR","D","alpha_anar",0.0191185490059713,0.0198092428512361,-0.00459818741161956,0.0403650984553746
"222","GITR","D","alpha_brho",0.050884312012837,0.0515267795941885,0.011703472082247,0.0885789258466947
"223","GITR","D","alpha_brni",0.181858128910054,0.185258076780261,0.103760541585731,0.267379051405375
"224","GITR","D","alpha_ceso",0.0554445712574873,0.0590671465213998,-0.0519292824320364,0.147780354203524
"225","GITR","D","alpha_gitr",0.0345212915483922,0.0347802698182429,0.0241597311510523,0.04347886597557
"226","GITR","D","alpha_leni",0.059512148871515,0.060543505095142,0.0298548316610171,0.0878697127100506
"227","GITR","D","alpha_lomu",0.107740195178952,0.109778314372105,0.0449792285483283,0.168735777591222
"228","GITR","D","alpha_mael",-0.171186105702588,-0.151722164397291,-0.572443560173075,0.193380542065431
"229","GITR","D","alpha_mica",0.0284389198333819,0.0291279886431112,0.00584333137711701,0.0477709031695638
"230","GITR","D","alpha_pler",0.0443778952735474,0.044732782486799,0.010701727855744,0.0783086037711293
"231","GITR","D","alpha_plno",0.265216338524112,0.284825393996336,-0.067113695633542,0.557811616748291
"232","GITR","D","alpha_taca",0.0930262568660871,0.0964005486114116,-0.00941616718368454,0.190503701633192
"233","GITR","D","alpha_thir",-0.0471746729892258,-0.0425414290145173,-0.203160059363147,0.104376042833634
"234","GITR","D","alpha_twil",0.0326289372616417,0.0351608776883366,-0.0429741597566347,0.106478571598669
"235","LENI","C","alpha_acam",-0.145509393773325,-0.140343156276974,-0.282609244366719,-0.0241001115927015
"236","LENI","C","alpha_amme",0.0802997775432423,0.090456297408816,-0.185452193167441,0.335887976503701
"237","LENI","C","alpha_anar",-0.00304471701599153,-0.00270880339963452,-0.0111295361773314,0.00481956180071488
"238","LENI","C","alpha_brho",0.00244989620848867,0.00316776015362461,-0.0185149908119664,0.0205300981146233
"239","LENI","C","alpha_brni",0.0692266558488578,0.0730286462949079,0.00183895125862842,0.126399704196522
"240","LENI","C","alpha_ceso",0.085343268778604,0.0871038051268041,0.036858221935375,0.129520502314892
"241","LENI","C","alpha_gitr",0.0158708509700778,0.0161348054448294,0.00555107927399953,0.0263847061257073
"242","LENI","C","alpha_leni",0.0294040054319707,0.0300468629843964,0.00927159047800263,0.0470957588871573
"243","LENI","C","alpha_lomu",0.0330420257153579,0.034273170553829,-0.000822795333340051,0.0651450571209971
"244","LENI","C","alpha_mael",-0.0374038380711461,-0.0311280703584805,-0.170608876481799,0.08712436854006
"245","LENI","C","alpha_mica",0.00214417195715331,0.00230040149804322,-0.00479349161055533,0.0085208182339327
"246","LENI","C","alpha_pler",0.0199467442457391,0.0209141682544895,0.00263001505988834,0.0352434434796283
"247","LENI","C","alpha_plno",0.0540096299009493,0.0620612501110906,-0.116165814139977,0.205100828070086
"248","LENI","C","alpha_taca",0.0151666747919735,0.0161160448043909,-0.0171981632904151,0.0470327415118338
"249","LENI","C","alpha_thir",0.0252992940341813,0.0276503695324203,-0.043210696488961,0.0912209943744451
"250","LENI","C","alpha_twil",-0.0515253031323721,-0.0499705696840906,-0.144704035289884,0.0349056903015759
"251","LENI","D","alpha_acam",-0.149485146959086,-0.145190040352726,-0.279703600871643,-0.0297108930475921
"252","LENI","D","alpha_amme",0.185773201727549,0.196941363117688,-0.184465730607765,0.491749368833902
"253","LENI","D","alpha_anar",-0.00308309845281768,-0.00248939703538972,-0.0193220306940855,0.0120127745182082
"254","LENI","D","alpha_brho",0.011795331501331,0.0124230329171418,-0.00938949159061378,0.0329582156438246
"255","LENI","D","alpha_brni",-0.0079418523789884,-0.00633272914709531,-0.0426905162981878,0.0251522898937199
"256","LENI","D","alpha_ceso",0.0326399895454552,0.0341015579725919,-0.0338564554117858,0.0933835841232407
"257","LENI","D","alpha_gitr",0.0110786373278251,0.0114724002806462,-0.00350122825459711,0.0251746071072904
